link,referencia,latitud,longitud,direccion,distrito,etapa,fecha_entrega,financiamiento,areas_comunes,tipo,tipologia,piso,dormitorios,area,precio
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,HIGH LINE,-12.1159754,-76.9909747,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato,Santiago De Surco,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",flat,TIPO 10,Pisos: Entre 2 al 16,1,55.66 m2,"S/ 464,250"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,HIGH LINE,-12.1159754,-76.9909747,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato,Santiago De Surco,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",flat,TIPO 11,Pisos: Entre 2 al 15,1,54.34 m2,"S/ 532,267"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,HIGH LINE,-12.1159754,-76.9909747,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato,Santiago De Surco,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",flat,TIPO 12,Pisos: Entre 4 al 16,1,47.42 m2,"S/ 382,833"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,HIGH LINE,-12.1159754,-76.9909747,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato,Santiago De Surco,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",,TIPO 12,,,,
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,HIGH LINE,-12.1159754,-76.9909747,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato,Santiago De Surco,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",,TIPO 12,,,,
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2706-high-line-santiago-de-surco-lima-lima-tribeca-inmobiliaria,HIGH LINE,-12.1159754,-76.9909747,Av. Caminos del Inca 508 esquina con Jr. Cañón del Pato,Santiago De Surco,En construcción,"31 de Diciembre, 2025",BBVA,"['Área de juegos para niños', 'Areas verdes', 'Ascensor directo', 'Gimnasio', 'Jardin de niños', 'Lobby', 'Piscina', 'Sala Bar', 'Salon Gourmet', 'Techos Ecológicos', 'Terraza', 'Zona de Parrillas']",,TIPO 12,,,,
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2381-zenhaus-lince-lima-lima-ciudaris,Jazmines 358
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-2381-zenhaus-lince-lima-lima-ciudaris,ZENHAUS,-12.0897795,-77.02657649999999,Jazmines 358,Lince,Entrega inmediata,"30 de Noviembre, 2023",Banco Interbank,"['Jardin interior', 'Lobby', 'Sala de usos Múltiples', 'Terraza', 'Zona de Lavandería', 'Zona de Parrillas', 'Otros']",flat,Tipo 4,Piso: 14,3,71.12 m2,"S/ 531,000"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3371-nuova-vita-jesus-maria-lima-lima-grupo-sol,Jr. Cahuide 971 Jesús María
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3371-nuova-vita-jesus-maria-lima-lima-grupo-sol,NUOVA VITA,-12.078970115666072,-77.0451503940812,Jr. Cahuide 971 Jesús María,Jesus Maria,En planos,"31 de Octubre, 2025",Otros,['Lobby'],flat,101,Piso: 1,2,68.80 m2,"S/ 529,000"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3371-nuova-vita-jesus-maria-lima-lima-grupo-sol,NUOVA VITA,-12.078970115666072,-77.0451503940812,Jr. Cahuide 971 Jesús María,Jesus Maria,En planos,"31 de Octubre, 2025",Otros,['Lobby'],flat,102,Piso: 1,3,79.93 m2,"S/ 614,000"
https://nexoinmobiliario.pe/proyecto/venta-de-departamento-3371-nuova-vita-jesus-maria-lima-lima-grupo-sol,NUOVA VITA,-12.078970115666072,-77.0451503940812,Jr. Cahuide 971 Jesús María,Jesus Maria,En planos,"31 de Octubre, 2025",Otros,['Lobby'],flat,103,Piso: 1,3,129.05 m2,"S/ 894,000"
